Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/88/40,"50.6371246, -2.2018937"
HL/PO/JO/10/1/88/41,"50.675467, -2.183033"
HL/PO/JO/10/1/88/42,"50.702821, -2.285468"
HL/PO/JO/10/1/88/43,"50.655149, -2.364921"
HL/PO/JO/10/1/88/44,"50.687817, -2.110981"
HL/PO/JO/10/1/88/45,"50.67187, -2.351552"
HL/PO/JO/10/1/88/46,"50.9458335, -1.4635448"
HL/PO/JO/10/1/88/47,"50.713084, -2.339675"
HL/PO/JO/10/1/88/49,"50.9860295, 0.450686"
HL/PO/JO/10/1/88/50,"50.92731, -2.588757"
HL/PO/JO/10/1/88/51,"53.344, -1.775"
HL/PO/JO/10/1/88/52,"50.914463, -2.435529"
HL/PO/JO/10/1/88/53,"50.917169, -2.459386"
HL/PO/JO/10/1/88/54,"50.954372, -2.432149"
HL/PO/JO/10/1/88/55,"50.953067, -2.5761759"
HL/PO/JO/10/1/88/56,"51.5223478, -2.6189869"
HL/PO/JO/10/1/88/57,"50.917108, -2.483418"
HL/PO/JO/10/1/88/58,"54.975823, -2.249734"
HL/PO/JO/10/1/88/59,"50.886638, -2.4889"
HL/PO/JO/10/1/88/60,"50.910223, -2.49943"
HL/PO/JO/10/1/88/61,"50.921971, -2.368015"
HL/PO/JO/10/1/88/62,"52.791844, 0.435894"
HL/PO/JO/10/1/88/63,"50.0030607, 17.4969037"
HL/PO/JO/10/1/88/64,"50.947822, -2.5144829"
HL/PO/JO/10/1/88/65,"50.9097579, -2.530169"
HL/PO/JO/10/1/88/66,"50.915802, -2.561658"
HL/PO/JO/10/1/88/67,"45.189484, 18.6873659"
HL/PO/JO/10/1/88/68,"51.151216, -2.443302"
HL/PO/JO/10/1/88/69,"50.873036, -2.567718"
HL/PO/JO/10/1/88/70,"53.496115, -2.518727"
HL/PO/JO/10/1/88/71,"50.856689, -2.575948"
HL/PO/JO/10/1/88/72,"50.8925685, -2.5802501"
HL/PO/JO/10/1/88/73,"50.86976, -2.654824"
HL/PO/JO/10/1/88/74,"50.894509, -2.592435"
HL/PO/JO/10/1/88/76,"50.853807, -2.374905"
HL/PO/JO/10/1/88/77,"50.818345, -2.406778"
HL/PO/JO/10/1/88/78,"50.87756, -2.415807"
HL/PO/JO/10/1/88/79,"52.097826, -0.527125"
HL/PO/JO/10/1/88/80,"50.7554731, -1.8500607"
HL/PO/JO/10/1/88/81,"36.988099, 35.337301"
HL/PO/JO/10/1/88/82,"50.869988, -2.303561"
HL/PO/JO/10/1/88/83,"50.824294, -2.338584"
HL/PO/JO/10/1/88/84,"50.817903, -2.269475"
HL/PO/JO/10/1/88/85,"50.858201, -2.337738"
HL/PO/JO/10/1/88/86,"50.861915, -2.318085"
HL/PO/JO/10/1/88/87,"50.8372079, -2.4846879"
HL/PO/JO/10/1/88/88,"50.797831, -2.420996"
HL/PO/JO/10/1/88/89,"50.822204, -2.4282879"
HL/PO/JO/10/1/88/90,"50.797673, -2.581923"
HL/PO/JO/10/1/88/91,"50.808756, -2.477207"
HL/PO/JO/10/1/88/92,"50.968349, -2.1916808"
HL/PO/JO/10/1/88/93,"50.76908, -2.477373"
HL/PO/JO/10/1/88/40,"50.6371246, -2.2018937"
HL/PO/JO/10/1/88/41,"50.675467, -2.183033"
HL/PO/JO/10/1/88/42,"50.702821, -2.285468"
HL/PO/JO/10/1/88/43,"50.655149, -2.364921"
HL/PO/JO/10/1/88/44,"50.687817, -2.110981"
HL/PO/JO/10/1/88/45,"50.67187, -2.351552"
HL/PO/JO/10/1/88/46,"50.9458335, -1.4635448"
HL/PO/JO/10/1/88/47,"50.713084, -2.339675"
HL/PO/JO/10/1/88/49,"50.9860295, 0.450686"
HL/PO/JO/10/1/88/50,"50.92731, -2.588757"
HL/PO/JO/10/1/88/51,"53.344, -1.775"
HL/PO/JO/10/1/88/52,"50.914463, -2.435529"
HL/PO/JO/10/1/88/53,"50.917169, -2.459386"
HL/PO/JO/10/1/88/54,"50.954372, -2.432149"
HL/PO/JO/10/1/88/55,"50.953067, -2.5761759"
HL/PO/JO/10/1/88/56,"51.5223478, -2.6189869"
HL/PO/JO/10/1/88/57,"50.917108, -2.483418"
HL/PO/JO/10/1/88/58,"54.975823, -2.249734"
HL/PO/JO/10/1/88/59,"50.886638, -2.4889"
HL/PO/JO/10/1/88/60,"50.910223, -2.49943"
HL/PO/JO/10/1/88/61,"50.921971, -2.368015"
HL/PO/JO/10/1/88/62,"52.791844, 0.435894"
HL/PO/JO/10/1/88/63,"50.0030607, 17.4969037"
HL/PO/JO/10/1/88/64,"50.947822, -2.5144829"
HL/PO/JO/10/1/88/65,"50.9097579, -2.530169"
HL/PO/JO/10/1/88/66,"50.915802, -2.561658"
HL/PO/JO/10/1/88/67,"45.189484, 18.6873659"
HL/PO/JO/10/1/88/68,"51.151216, -2.443302"
HL/PO/JO/10/1/88/69,"50.873036, -2.567718"
HL/PO/JO/10/1/88/70,"53.496115, -2.518727"
HL/PO/JO/10/1/88/71,"50.856689, -2.575948"
HL/PO/JO/10/1/88/72,"50.8925685, -2.5802501"
HL/PO/JO/10/1/88/73,"50.86976, -2.654824"
HL/PO/JO/10/1/88/74,"50.894509, -2.592435"
HL/PO/JO/10/1/88/76,"50.853807, -2.374905"
HL/PO/JO/10/1/88/77,"50.818345, -2.406778"
HL/PO/JO/10/1/88/78,"50.87756, -2.415807"
HL/PO/JO/10/1/88/79,"52.097826, -0.527125"
HL/PO/JO/10/1/88/80,"50.7554731, -1.8500607"
HL/PO/JO/10/1/88/81,"36.988099, 35.337301"
HL/PO/JO/10/1/88/82,"50.869988, -2.303561"
HL/PO/JO/10/1/88/83,"50.824294, -2.338584"
HL/PO/JO/10/1/88/84,"50.817903, -2.269475"
HL/PO/JO/10/1/88/85,"50.858201, -2.337738"
HL/PO/JO/10/1/88/86,"50.861915, -2.318085"
HL/PO/JO/10/1/88/87,"50.8372079, -2.4846879"
HL/PO/JO/10/1/88/88,"50.797831, -2.420996"
HL/PO/JO/10/1/88/89,"50.822204, -2.4282879"
HL/PO/JO/10/1/88/90,"50.797673, -2.581923"
HL/PO/JO/10/1/88/91,"50.808756, -2.477207"
HL/PO/JO/10/1/88/92,"50.968349, -2.1916808"
HL/PO/JO/10/1/88/93,"50.76908, -2.477373"
orset - Bridport Division - Eggerton Hundred - Hooke.,"50.7987973, -2.6596516"
HL/PO/JO/10/1/89/36,"50.7049711, -2.6133545"
HL/PO/JO/10/1/89/37,"50.713127, -2.544411"
HL/PO/JO/10/1/89/38,"50.615963, -1.222199"
HL/PO/JO/10/1/89/39,"50.787706, -1.9546093"
HL/PO/JO/10/1/89/40,"50.834379, -2.14125"
HL/PO/JO/10/1/89/41,"50.769776, -2.021419"
HL/PO/JO/10/1/89/42,"50.719733, -2.0109"
HL/PO/JO/10/1/89/43,"51.41233, -0.300689"
HL/PO/JO/10/1/89/44,"50.757805, -2.076603"
HL/PO/JO/10/1/89/45,"50.737588, -2.056595"
HL/PO/JO/10/1/89/46,"50.801447, -2.072435"
HL/PO/JO/10/1/89/47,"50.920809, -2.070008"
HL/PO/JO/10/1/89/48,"50.918804, -1.921402"
HL/PO/JO/10/1/89/49,"50.879201, -2.08134"
HL/PO/JO/10/1/89/50,"50.789673, -2.124928"
HL/PO/JO/10/1/89/51,"51.394943, -0.19446"
HL/PO/JO/10/1/89/52,"50.819206, -2.122813"
HL/PO/JO/10/1/89/53,"50.8909019, -2.037257"
HL/PO/JO/10/1/89/54,"50.900535, -1.999905"
HL/PO/JO/10/1/89/55,"55.3439936, -1.6099907"
HL/PO/JO/10/1/89/56,"51.386322, 0.551438"
HL/PO/JO/10/1/89/57,"51.025911, -2.214709"
HL/PO/JO/10/1/89/58,"50.861913, -1.974825"
HL/PO/JO/10/1/89/59,"55.470249, -3.652242"
HL/PO/JO/10/1/89/61,"50.902275, -2.021215"
HL/PO/JO/10/1/89/62,"50.854342, -1.983614"
HL/PO/JO/10/1/89/63,"50.840863, -2.007574"
HL/PO/JO/10/1/89/64,"50.92902, -2.967601"
HL/PO/JO/10/1/89/65,"51.141287, -2.834099"
HL/PO/JO/10/1/89/66,"50.800657, -1.984495"
HL/PO/JO/10/1/89/67,"-27.9864232, 153.3807186"
HL/PO/JO/10/1/89/68,"50.88664, -2.2981919"
HL/PO/JO/10/1/89/69,"51.447056, -0.672581"
HL/PO/JO/10/1/89/70,"50.90147, -1.914341"
HL/PO/JO/10/1/89/71,"51.214321, -0.798802"
HL/PO/JO/10/1/89/72,"50.787642, -1.924315"
HL/PO/JO/10/1/89/73,"50.90271, -2.4280719"
HL/PO/JO/10/1/89/74,"-32.2048046, 115.9264247"
HL/PO/JO/10/1/89/75,"50.955708, -1.954038"
HL/PO/JO/10/1/89/76,"33.6650629, -86.8007166"
HL/PO/JO/10/1/89/77,"50.914454, -2.107266"
HL/PO/JO/10/1/89/78,"42.0242562, -74.7090458"
HL/PO/JO/10/1/89/79,"50.776142, -1.878296"
HL/PO/JO/10/1/89/80,"50.857549, -2.017024"
HL/PO/JO/10/1/89/81,"50.788793, -1.9231132"
HL/PO/JO/10/1/89/82,"50.9178757, -1.9510409"
HL/PO/JO/10/1/89/84,"50.968349, -2.1916808"
HL/PO/JO/10/1/89/85,"50.950254, -2.187886"
HL/PO/JO/10/1/89/86,"53.113313, -2.801091"
HL/PO/JO/10/1/89/87,"50.9311269, -2.189258"
HL/PO/JO/10/1/89/88,"50.978091, -2.167653"
HL/PO/JO/10/1/89/89,"51.0046, -2.198083"
HL/PO/JO/10/1/89/90,"18.3923184, -77.8595963"
HL/PO/JO/10/1/89/36,"50.7049711, -2.6133545"
HL/PO/JO/10/1/89/37,"50.713127, -2.544411"
HL/PO/JO/10/1/89/38,"50.615963, -1.222199"
HL/PO/JO/10/1/89/39,"50.787706, -1.9546093"
HL/PO/JO/10/1/89/40,"50.834379, -2.14125"
HL/PO/JO/10/1/89/41,"50.769776, -2.021419"
HL/PO/JO/10/1/89/42,"50.719733, -2.0109"
HL/PO/JO/10/1/89/43,"51.41233, -0.300689"
HL/PO/JO/10/1/89/44,"50.757805, -2.076603"
HL/PO/JO/10/1/89/45,"50.737588, -2.056595"
HL/PO/JO/10/1/89/46,"50.801447, -2.072435"
HL/PO/JO/10/1/89/47,"50.920809, -2.070008"
HL/PO/JO/10/1/89/48,"50.918804, -1.921402"
HL/PO/JO/10/1/89/49,"50.879201, -2.08134"
HL/PO/JO/10/1/89/50,"50.789673, -2.124928"
HL/PO/JO/10/1/89/51,"51.394943, -0.19446"
HL/PO/JO/10/1/89/52,"50.819206, -2.122813"
HL/PO/JO/10/1/89/53,"50.8909019, -2.037257"
HL/PO/JO/10/1/89/54,"50.900535, -1.999905"
HL/PO/JO/10/1/89/55,"55.3439936, -1.6099907"
HL/PO/JO/10/1/89/56,"51.386322, 0.551438"
HL/PO/JO/10/1/89/57,"51.025911, -2.214709"
HL/PO/JO/10/1/89/58,"50.861913, -1.974825"
HL/PO/JO/10/1/89/59,"55.470249, -3.652242"
HL/PO/JO/10/1/89/61,"50.902275, -2.021215"
HL/PO/JO/10/1/89/62,"50.854342, -1.983614"
HL/PO/JO/10/1/89/63,"50.840863, -2.007574"
HL/PO/JO/10/1/89/64,"50.92902, -2.967601"
HL/PO/JO/10/1/89/65,"51.141287, -2.834099"
HL/PO/JO/10/1/89/66,"50.800657, -1.984495"
HL/PO/JO/10/1/89/67,"-27.9864232, 153.3807186"
HL/PO/JO/10/1/89/68,"50.88664, -2.2981919"
HL/PO/JO/10/1/89/69,"51.447056, -0.672581"
HL/PO/JO/10/1/89/70,"50.90147, -1.914341"
HL/PO/JO/10/1/89/71,"51.214321, -0.798802"
HL/PO/JO/10/1/89/72,"50.787642, -1.924315"
HL/PO/JO/10/1/89/73,"50.90271, -2.4280719"
HL/PO/JO/10/1/89/74,"-32.2048046, 115.9264247"
HL/PO/JO/10/1/89/75,"50.955708, -1.954038"
HL/PO/JO/10/1/89/76,"33.6650629, -86.8007166"
HL/PO/JO/10/1/89/77,"50.914454, -2.107266"
HL/PO/JO/10/1/89/78,"42.0242562, -74.7090458"
HL/PO/JO/10/1/89/79,"50.776142, -1.878296"
HL/PO/JO/10/1/89/80,"50.857549, -2.017024"
HL/PO/JO/10/1/89/81,"50.788793, -1.9231132"
HL/PO/JO/10/1/89/82,"50.9178757, -1.9510409"
HL/PO/JO/10/1/89/84,"50.968349, -2.1916808"
HL/PO/JO/10/1/89/85,"50.950254, -2.187886"
HL/PO/JO/10/1/89/86,"53.113313, -2.801091"
HL/PO/JO/10/1/89/87,"50.9311269, -2.189258"
HL/PO/JO/10/1/89/88,"50.978091, -2.167653"
HL/PO/JO/10/1/89/89,"51.0046, -2.198083"
HL/PO/JO/10/1/89/90,"18.3923184, -77.8595963"
HL/PO/JO/10/1/90/8,"54.833916, -2.077737"
HL/PO/JO/10/1/90/9,"54.980297, -1.482757"
HL/PO/JO/10/1/90/10,"54.9201, -1.610463"
HL/PO/JO/10/1/90/11,"54.82232, -1.740305"
HL/PO/JO/10/1/90/12,"54.885335, -1.811501"
HL/PO/JO/10/1/90/13,"54.9146, -1.3825"
HL/PO/JO/10/1/90/14,"54.844225, -1.944117"
HL/PO/JO/10/1/90/15,"54.9728909, -1.7629735"
HL/PO/JO/10/1/90/16,"54.9945639, -1.4316452"
HL/PO/JO/10/1/90/17,"54.8936411, -1.7105058"
HL/PO/JO/10/1/90/18,"54.897432, -1.517366"
HL/PO/JO/10/1/90/19,"54.944116, -1.674552"
HL/PO/JO/10/1/90/20,"55.867674, -3.682519"
HL/PO/JO/10/1/90/21,"33.3528264, -111.789027"
HL/PO/JO/10/1/90/22,"-36.8484597, 174.7633315"
HL/PO/JO/10/1/90/23,"-36.8534683, 174.6149939"
HL/PO/JO/10/1/90/24,"54.5961775, -1.5630318"
HL/PO/JO/10/1/90/25,"54.545284, -1.923741"
HL/PO/JO/10/1/90/26,"54.736542, -1.654905"
HL/PO/JO/10/1/90/27,"54.6128988, -1.8055712"
HL/PO/JO/10/1/90/28,"54.5232926, -1.5587715"
HL/PO/JO/10/1/90/29,"34.3035681, -79.8691994"
HL/PO/JO/10/1/90/30,"54.52046, -1.54733"
HL/PO/JO/10/1/90/31,"33.2148412, -97.1330683"
HL/PO/JO/10/1/90/32,"54.548059, -1.739469"
HL/PO/JO/10/1/90/33,"54.675631, -1.827378"
HL/PO/JO/10/1/90/34,"52.783826, -2.202159"
HL/PO/JO/10/1/90/35,"53.212471, -0.459257"
HL/PO/JO/10/1/90/36,"52.781317, -2.784539"
HL/PO/JO/10/1/90/37,"38.2859125, -111.4774629"
HL/PO/JO/10/1/90/38,"54.545976, -1.470881"
HL/PO/JO/10/1/90/39,"54.74946, -2.011302"
HL/PO/JO/10/1/90/40,"53.660416, -2.172478"
HL/PO/JO/10/1/90/41,"54.529458, -1.838976"
HL/PO/JO/10/1/90/42,"54.543733, -1.783328"
HL/PO/JO/10/1/90/43,"47.30412, 11.64094"
HL/PO/JO/10/1/90/44,"54.73256, -1.88394"
HL/PO/JO/10/1/90/45,"54.899913, -1.420582"
HL/PO/JO/10/1/90/46,"54.738674, -1.33521"
HL/PO/JO/10/1/90/47,"54.72658, -1.584892"
HL/PO/JO/10/1/90/48,"60.5853559, 5.8147823"
HL/PO/JO/10/1/90/49,"54.7737999, -1.5747685"
HL/PO/JO/10/1/90/50,"54.7714231, -1.57665"
HL/PO/JO/10/1/90/51,"54.77525, -1.584852"
HL/PO/JO/10/1/90/52,"54.7758341, -1.5799296"
HL/PO/JO/10/1/90/53,"54.7870088, -1.5977923"
HL/PO/JO/10/1/90/54,"54.784853, -1.3515"
HL/PO/JO/10/1/90/55,"36.4214066, -116.4221616"
HL/PO/JO/10/1/90/56,"54.720584, -1.472605"
HL/PO/JO/10/1/90/57,"54.7285712, -1.2949833"
HL/PO/JO/10/1/90/58,"54.7926322, -1.4802435"
HL/PO/JO/10/1/90/59,"53.0194039, -2.7670397"
HL/PO/JO/10/1/90/60,"54.840346, -1.337517"
HL/PO/JO/10/1/90/61,"54.7677694, -1.5233066"
HL/PO/JO/10/1/90/62,"54.906869, -1.383801"
HL/PO/JO/10/1/90/63,"54.703328, -1.4356199"
HL/PO/JO/10/1/90/64,"54.612537, -1.290961"
HL/PO/JO/10/1/90/65,"54.679575, -1.4864409"
HL/PO/JO/10/1/90/66,"55.908622, -4.50452"
HL/PO/JO/10/1/90/67,"54.51474, -1.46707"
HL/PO/JO/10/1/90/68,"54.5178547, -1.3596383"
HL/PO/JO/10/1/90/69,"53.273924, -2.8153039"
HL/PO/JO/10/1/90/70,"54.682139, -1.294693"
HL/PO/JO/10/1/90/71,"51.073229, -0.889997"
HL/PO/JO/10/1/90/72,"54.594885, -1.476965"
HL/PO/JO/10/1/90/8,"54.833916, -2.077737"
HL/PO/JO/10/1/90/9,"54.980297, -1.482757"
HL/PO/JO/10/1/90/10,"54.9201, -1.610463"
HL/PO/JO/10/1/90/11,"54.82232, -1.740305"
HL/PO/JO/10/1/90/12,"54.885335, -1.811501"
HL/PO/JO/10/1/90/13,"54.9146, -1.3825"
HL/PO/JO/10/1/90/14,"54.844225, -1.944117"
HL/PO/JO/10/1/90/15,"54.9728909, -1.7629735"
HL/PO/JO/10/1/90/16,"54.9945639, -1.4316452"
HL/PO/JO/10/1/90/17,"54.8936411, -1.7105058"
HL/PO/JO/10/1/90/18,"54.897432, -1.517366"
HL/PO/JO/10/1/90/19,"54.944116, -1.674552"
HL/PO/JO/10/1/90/20,"55.867674, -3.682519"
HL/PO/JO/10/1/90/21,"33.3528264, -111.789027"
HL/PO/JO/10/1/90/22,"-36.8484597, 174.7633315"
HL/PO/JO/10/1/90/23,"-36.8534683, 174.6149939"
HL/PO/JO/10/1/90/24,"54.5961775, -1.5630318"
HL/PO/JO/10/1/90/25,"54.545284, -1.923741"
HL/PO/JO/10/1/90/26,"54.736542, -1.654905"
HL/PO/JO/10/1/90/27,"54.6128988, -1.8055712"
HL/PO/JO/10/1/90/28,"54.5232926, -1.5587715"
HL/PO/JO/10/1/90/29,"34.3035681, -79.8691994"
HL/PO/JO/10/1/90/30,"54.52046, -1.54733"
HL/PO/JO/10/1/90/31,"33.2148412, -97.1330683"
HL/PO/JO/10/1/90/32,"54.548059, -1.739469"
HL/PO/JO/10/1/90/33,"54.675631, -1.827378"
HL/PO/JO/10/1/90/34,"52.783826, -2.202159"
HL/PO/JO/10/1/90/35,"53.212471, -0.459257"
HL/PO/JO/10/1/90/36,"52.781317, -2.784539"
HL/PO/JO/10/1/90/37,"38.2859125, -111.4774629"
HL/PO/JO/10/1/90/38,"54.545976, -1.470881"
HL/PO/JO/10/1/90/39,"54.74946, -2.011302"
HL/PO/JO/10/1/90/40,"53.660416, -2.172478"
HL/PO/JO/10/1/90/41,"54.529458, -1.838976"
HL/PO/JO/10/1/90/42,"54.543733, -1.783328"
HL/PO/JO/10/1/90/43,"47.30412, 11.64094"
HL/PO/JO/10/1/90/44,"54.73256, -1.88394"
HL/PO/JO/10/1/90/45,"54.899913, -1.420582"
HL/PO/JO/10/1/90/46,"54.738674, -1.33521"
HL/PO/JO/10/1/90/47,"54.72658, -1.584892"
HL/PO/JO/10/1/90/48,"60.5853559, 5.8147823"
HL/PO/JO/10/1/90/49,"54.7737999, -1.5747685"
HL/PO/JO/10/1/90/50,"54.7714231, -1.57665"
HL/PO/JO/10/1/90/51,"54.77525, -1.584852"
HL/PO/JO/10/1/90/52,"54.7758341, -1.5799296"
HL/PO/JO/10/1/90/53,"54.7870088, -1.5977923"
HL/PO/JO/10/1/90/54,"54.784853, -1.3515"
HL/PO/JO/10/1/90/55,"36.4214066, -116.4221616"
HL/PO/JO/10/1/90/56,"54.720584, -1.472605"
HL/PO/JO/10/1/90/57,"54.7285712, -1.2949833"
HL/PO/JO/10/1/90/58,"54.7926322, -1.4802435"
HL/PO/JO/10/1/90/59,"53.0194039, -2.7670397"
HL/PO/JO/10/1/90/60,"54.840346, -1.337517"
HL/PO/JO/10/1/90/61,"54.7677694, -1.5233066"
HL/PO/JO/10/1/90/62,"54.906869, -1.383801"
HL/PO/JO/10/1/90/63,"54.703328, -1.4356199"
HL/PO/JO/10/1/90/64,"54.612537, -1.290961"
HL/PO/JO/10/1/90/65,"54.679575, -1.4864409"
HL/PO/JO/10/1/90/66,"55.908622, -4.50452"
HL/PO/JO/10/1/90/67,"54.51474, -1.46707"
HL/PO/JO/10/1/90/68,"54.5178547, -1.3596383"
HL/PO/JO/10/1/90/69,"53.273924, -2.8153039"
HL/PO/JO/10/1/90/70,"54.682139, -1.294693"
HL/PO/JO/10/1/90/71,"51.073229, -0.889997"
HL/PO/JO/10/1/90/72,"54.594885, -1.476965"
HL/PO/JO/10/1/91/56,"41.7637111, -72.6850932"
HL/PO/JO/10/1/91/57,"52.3294055, -0.036249"
HL/PO/JO/10/1/91/59,"52.3985967, -0.0423988"
HL/PO/JO/10/1/91/60,"44.9963986, -93.0615978"
HL/PO/JO/10/1/91/63,"52.387271, -0.193528"
HL/PO/JO/10/1/91/64,"52.372281, -0.1499089"
HL/PO/JO/10/1/91/65,"50.2152089, -5.4777498"
HL/PO/JO/10/1/91/66,"52.382565, -0.0021059"
HL/PO/JO/10/1/91/69,"52.404533, -0.077056"
HL/PO/JO/10/1/91/70,"52.554093, -1.066114"
HL/PO/JO/10/1/91/71,"52.3809462, -0.0466633"
HL/PO/JO/10/1/91/72,"52.365912, -0.262374"
HL/PO/JO/10/1/91/73,"-35.630312, 144.1289856"
HL/PO/JO/10/1/91/74,"43.683333, -79.766667"
HL/PO/JO/10/1/91/75,"52.2664452, -1.0288835"
HL/PO/JO/10/1/91/76,"52.377556, -0.31343"
HL/PO/JO/10/1/91/77,"52.3714996, -0.4504366"
HL/PO/JO/10/1/91/78,"52.346132, -0.4063629"
HL/PO/JO/10/1/91/80,"52.3238259, -0.4511"
HL/PO/JO/10/1/91/81,"50.548373, -2.436027"
HL/PO/JO/10/1/91/82,"53.4783182, -1.1933845"
HL/PO/JO/10/1/91/83,"51.2894793, -1.9798598"
HL/PO/JO/10/1/91/84,"51.2894793, -1.9798598"
HL/PO/JO/10/1/91/85,"52.418684, -0.332285"
HL/PO/JO/10/1/91/86,"50.94712, -0.682229"
HL/PO/JO/10/1/91/87,"52.4031329, -0.334598"
HL/PO/JO/10/1/91/88,"52.366112, -0.470119"
HL/PO/JO/10/1/91/89,"-40.0543929, 175.7792843"
HL/PO/JO/10/1/91/90,"52.644226, -3.125894"
HL/PO/JO/10/1/91/91,"52.37179, -0.425844"
HL/PO/JO/10/1/91/92,"52.4044081, -0.3759985"
HL/PO/JO/10/1/91/93,"52.340322, -0.346802"
HL/PO/JO/10/1/91/94,"51.931364, -1.726444"
HL/PO/JO/10/1/91/95,"52.946095, -0.162996"
HL/PO/JO/10/1/91/96,"43.631431, -73.215323"
HL/PO/JO/10/1/91/97,"53.615278, -1.517721"
HL/PO/JO/10/1/91/99,"52.5487397, -0.3313324"
HL/PO/JO/10/1/91/100,"52.029204, -0.200119"
HL/PO/JO/10/1/91/101,"51.889176, -1.188494"
HL/PO/JO/10/1/91/102,"52.2787239, -0.060632"
HL/PO/JO/10/1/91/103,"33.2148412, -97.1330683"
HL/PO/JO/10/1/91/104,"53.273924, -2.8153039"
HL/PO/JO/10/1/91/105,"53.5578041, -2.7756229"
HL/PO/JO/10/1/91/106,"52.5437657, -0.2742463"
HL/PO/JO/10/1/91/107,"52.4936736, -0.3110591"
HL/PO/JO/10/1/91/108,"52.459956, -0.303377"
HL/PO/JO/10/1/91/109,"52.5208749, -0.3244349"
HL/PO/JO/10/1/91/110,"54.203341, -2.730586"
HL/PO/JO/10/1/91/111,"49.6405209, 6.8607768"
HL/PO/JO/10/1/91/113,"44.5520105, -69.6317121"
HL/PO/JO/10/1/91/56,"41.7637111, -72.6850932"
HL/PO/JO/10/1/91/57,"52.3294055, -0.036249"
HL/PO/JO/10/1/91/59,"52.3985967, -0.0423988"
HL/PO/JO/10/1/91/60,"44.9963986, -93.0615978"
HL/PO/JO/10/1/91/63,"52.387271, -0.193528"
HL/PO/JO/10/1/91/64,"52.372281, -0.1499089"
HL/PO/JO/10/1/91/65,"50.2152089, -5.4777498"
HL/PO/JO/10/1/91/66,"52.382565, -0.0021059"
HL/PO/JO/10/1/91/69,"52.404533, -0.077056"
HL/PO/JO/10/1/91/70,"52.554093, -1.066114"
HL/PO/JO/10/1/91/71,"52.3809462, -0.0466633"
HL/PO/JO/10/1/91/72,"52.365912, -0.262374"
HL/PO/JO/10/1/91/73,"-35.630312, 144.1289856"
HL/PO/JO/10/1/91/74,"43.683333, -79.766667"
HL/PO/JO/10/1/91/75,"52.2664452, -1.0288835"
HL/PO/JO/10/1/91/76,"52.377556, -0.31343"
HL/PO/JO/10/1/91/77,"52.3714996, -0.4504366"
HL/PO/JO/10/1/91/78,"52.346132, -0.4063629"
HL/PO/JO/10/1/91/80,"52.3238259, -0.4511"
HL/PO/JO/10/1/91/81,"50.548373, -2.436027"
HL/PO/JO/10/1/91/82,"53.4783182, -1.1933845"
HL/PO/JO/10/1/91/83,"51.2894793, -1.9798598"
